time	V(out)	V(out2)	V(n001)
5.020000000000001e-08	-1.964537041434463e-03	-1.972533662686996e-03	9.119349739001888e-03
5.040000000000001e-08	-3.073702201367214e-03	-3.079007557798338e-03	1.577324309734084e-02
5.060000000000001e-08	-3.429748796820522e-03	-3.430682094251698e-03	1.854798258526171e-02
5.080000000000001e-08	-2.924851356572130e-03	-2.921804641641208e-03	1.676605709553545e-02
5.100000000000001e-08	-1.675868929105443e-03	-1.669644666749086e-03	1.078883399167679e-02
5.120000000000001e-08	2.676674195169362e-05	3.360762542763526e-05	2.099921309068659e-03
5.140000000000001e-08	1.761809023297706e-03	1.767279386740358e-03	-7.198572216635246e-03
5.160000000000001e-08	3.109763577552228e-03	3.111264505336657e-03	-1.477114215269279e-02
5.180000000000001e-08	3.728701566671899e-03	3.725427131055022e-03	-1.875932027446268e-02
5.200000000000001e-08	3.465581428270640e-03	3.456934975398495e-03	-1.810220892234158e-02
5.220000000000001e-08	2.372265158291171e-03	2.359890693094378e-03	-1.296268581037578e-02
5.240000000000001e-08	7.148410095830601e-04	7.003920544435965e-04	-4.528417118693007e-03
5.260000000000001e-08	-1.106845313561942e-03	-1.120080317086034e-03	5.088694396939702e-03
5.280000000000001e-08	-2.636895673697887e-03	-2.646772092336528e-03	1.352955975816652e-02
5.300000000000001e-08	-3.505033732675870e-03	-3.509047206757383e-03	1.865804804456642e-02
5.320000000000001e-08	-3.491507072914396e-03	-3.489511932869715e-03	1.921712080369944e-02
5.340000000000001e-08	-2.603958051141073e-03	-2.596097363327773e-03	1.499141413422176e-02
5.360000000000001e-08	-1.056287596406179e-03	-1.045117433120349e-03	7.024865898506553e-03
5.380000000000001e-08	7.613864480123477e-04	7.737858266001622e-04	-2.776010305537650e-03
5.400000000000001e-08	2.398956014182451e-03	2.409229648207397e-03	-1.195710869130522e-02
5.420000000000001e-08	3.435388848074888e-03	3.442029499852011e-03	-1.825970912448244e-02
5.440000000000001e-08	3.610361711926659e-03	3.611658809973632e-03	-2.006902527874968e-02
5.460000000000001e-08	2.863159267150805e-03	2.860005845116307e-03	-1.692818288397180e-02
5.480000000000001e-08	1.372801601492560e-03	1.366002446576778e-03	-9.535489299288536e-03
5.500000000000001e-08	-5.050455763796418e-04	-5.124373371701780e-04	2.821796300706345e-04
5.520000000000001e-08	-2.298678214144448e-03	-2.304669338209075e-03	1.012074277743944e-02
5.540000000000001e-08	-3.568906647542829e-03	-3.570500543945046e-03	1.751717090222635e-02
5.560000000000001e-08	-3.989161516622582e-03	-3.985818185816544e-03	2.064953012969032e-02
5.580000000000001e-08	-3.448943455107266e-03	-3.440109428353769e-03	1.866280063959205e-02
5.600000000000001e-08	-2.063657018175309e-03	-2.051654779814651e-03	1.203028916524002e-02
5.620000000000001e-08	-1.705035577458813e-04	-1.571700023175545e-04	2.324931230450160e-03
5.640000000000001e-08	1.772251586480801e-03	1.783206732493901e-03	-8.026198059684398e-03
5.660000000000001e-08	3.281427103721371e-03	3.288208842285108e-03	-1.648300522295618e-02
5.680000000000001e-08	3.993182810242161e-03	3.993382432593552e-03	-2.092314437313587e-02
5.700000000000001e-08	3.719590537786006e-03	3.713742871237679e-03	-2.021374520960963e-02
5.720000000000001e-08	2.530951320599687e-03	2.519385620772112e-03	-1.446144166858204e-02
5.740000000000001e-08	7.114330098809408e-04	6.973136462590897e-04	-5.066205153903989e-03
5.760000000000001e-08	-1.282092536841533e-03	-1.296575474989182e-03	5.692443502500964e-03
5.780000000000001e-08	-2.956420684265367e-03	-2.967414435750132e-03	1.511839378365534e-02
5.800000000000001e-08	-3.885584702045911e-03	-3.891731714364039e-03	2.088683572893919e-02
5.820000000000001e-08	-3.835451137652348e-03	-3.835008447614622e-03	2.150351611780238e-02
5.840000000000001e-08	-2.803684077381281e-03	-2.798252498108188e-03	1.679142896147596e-02
5.860000000000001e-08	-1.045369405476637e-03	-1.036125771083100e-03	7.855388988734648e-03
5.880000000000001e-08	1.016441131507605e-03	1.025733898068569e-03	-3.117993897249715e-03
5.900000000000001e-08	2.862272248773388e-03	2.869654141758032e-03	-1.343497040892623e-02
5.920000000000001e-08	4.032368938749857e-03	4.034706518064722e-03	-2.049666956020457e-02
5.940000000000001e-08	4.222221535813531e-03	4.219459807919349e-03	-2.255035744412843e-02
5.960000000000001e-08	3.376592665344792e-03	3.368214322518938e-03	-1.901584126681763e-02
5.980000000000001e-08	1.683477368313322e-03	1.672264941727147e-03	-1.072643395196179e-02
6.000000000000001e-08	-4.461098479935441e-04	-4.583254900155919e-04	3.405918732296396e-04
6.020000000000001e-08	-2.492798538170677e-03	-2.501876025767087e-03	1.142069832369036e-02
6.040000000000001e-08	-3.941961833048766e-03	-3.946232872104681e-03	1.976033258809775e-02
6.060000000000001e-08	-4.441772412742802e-03	-4.438732609399528e-03	2.327092189920311e-02
6.080000000000002e-08	-3.855670968035863e-03	-3.846507776242628e-03	2.104813208899508e-02
6.100000000000000e-08	-2.325841945954091e-03	-2.311317579379386e-03	1.356474024140549e-02
6.120000000000001e-08	-2.154112780352778e-04	-1.995352628311629e-04	2.627192304172103e-03
6.140000000000001e-08	1.944512010517324e-03	1.959434456972412e-03	-9.065446290362990e-03
6.160000000000001e-08	3.625831610500614e-03	3.635715881731889e-03	-1.861797800710705e-02
6.180000000000001e-08	4.403303554509338e-03	4.407284115188467e-03	-2.366451126368644e-02
6.200000000000001e-08	4.075215929704718e-03	4.071747867300147e-03	-2.285301076080151e-02
6.220000000000001e-08	2.711930516002240e-03	2.703268008638076e-03	-1.635733836151276e-02
6.240000000000002e-08	6.508729787037971e-04	6.383828956430165e-04	-5.723876208955858e-03
6.260000000000000e-08	-1.606417368614440e-03	-1.618336590155690e-03	6.439597650608530e-03
6.280000000000001e-08	-3.492185130169275e-03	-3.501419068911591e-03	1.714273206377518e-02
6.300000000000001e-08	-4.536041418509875e-03	-4.539041718468256e-03	2.370034039302009e-02
6.320000000000001e-08	-4.456736536364848e-03	-4.453808722567947e-03	2.443208560650581e-02
6.340000000000001e-08	-3.264147956534753e-03	-3.255042904342775e-03	1.908144180241975e-02
6.360000000000001e-08	-1.236867336269283e-03	-1.225226708548803e-03	8.938825717236868e-03
6.380000000000002e-08	1.129541195531396e-03	1.141611096331089e-03	-3.550127174887696e-03
